u	q	r
14	9163	0.09090909090909091
11	9164	0.2
21	9164	0.2
168	9164	0.6
16	9165	0.25
33	9165	0.5
91	9165	0.25
14	9166	0.1111111111111111
58	9166	0.2222222222222222
134	9166	0.2222222222222222
153	9166	0.3333333333333333
4390	9166	0.1111111111111111
3	9168	0.2
9	9168	0.2
170	9168	0.6
14	9169	0.25
84	9169	0.25
105	9169	0.25
162	9169	0.25
13	9170	0.25
14	9170	0.5
134	9170	0.25
134	9171	0.42857142857142855
309	9171	0.14285714285714285
323	9171	0.42857142857142855
11	9172	0.3333333333333333
29	9172	0.3333333333333333
172	9172	0.3333333333333333
11	9173	0.25
25	9173	0.25
173	9173	0.25
105	9173	0.25
3	9175	0.5
55	9175	0.5
82	9176	0.2
155	9176	0.8
11	9177	0.2
14	9177	0.2
176	9177	0.4
29569	9177	0.2
14	9178	0.25
51	9178	0.25
58	9178	0.5
29	9179	0.07692307692307693
51	9179	0.15384615384615385
62	9179	0.07692307692307693
195	9179	0.07692307692307693
1316	9179	0.07692307692307693
1372	9179	0.15384615384615385
2034	9179	0.07692307692307693
4292	9179	0.07692307692307693
4378	9179	0.07692307692307693
4559	9179	0.07692307692307693
4979	9179	0.07692307692307693
3	9180	0.07142857142857142
58	9180	0.07142857142857142
74	9180	0.14285714285714285
87	9180	0.07142857142857142
186	9180	0.21428571428571427
266	9180	0.07142857142857142
269	9180	0.07142857142857142
304	9180	0.21428571428571427
2133	9180	0.07142857142857142
29	9181	0.3333333333333333
162	9181	0.6666666666666666
29	9182	0.5
177	9182	0.5
14	9183	0.5
178	9183	0.5
11	9184	0.07692307692307693
