,A,A-q,B,B-q,C,C-q,D,D-q
429,1.0,186635,2.0,186635,1.0,186635,3.0,186635
430,23.0,9704,18.0,9704,8.0,9704,9.0,9704
431,4.0,165426,2.0,165426,4.0,165426,1.0,165426
432,1.0,133681,2.0,133681,1.0,133681,1.0,133681
433,1.0,228098,1.0,228098,1.0,228098,7.0,228098
434,100.0,38861,100.0,38861,3.0,38861,53.0,38861
435,100.0,242778,0.0,242778,0.0,242778,0.0,242778
436,21.0,47480,6.0,47480,3.0,47480,7.0,47480
437,100.0,199783,100.0,199783,45.0,199783,81.0,199783
438,1.0,10222,9.0,10222,1.0,10222,16.0,10222
439,28.0,195523,23.0,195523,1.0,195523,2.0,195523
440,32.0,11576,100.0,11576,76.0,11576,100.0,11576
441,8.0,34815,36.0,34815,21.0,34815,72.0,34815
442,8.0,11258,32.0,11258,15.0,11258,100.0,11258
443,100.0,225242,100.0,225242,50.0,225242,100.0,225242
444,100.0,89381,69.0,89381,62.0,89381,100.0,89381
445,62.0,209287,65.0,209287,21.0,209287,26.0,209287
446,100.0,10625,100.0,10625,100.0,10625,100.0,10625
447,1.0,50191,9.0,50191,2.0,50191,33.0,50191
448,100.0,119051,100.0,119051,100.0,119051,100.0,119051
449,100.0,53752,100.0,53752,100.0,53752,100.0,53752
450,2.0,188096,2.0,188096,2.0,188096,4.0,188096
451,7.0,45556,9.0,45556,7.0,45556,7.0,45556
452,6.0,11022,42.0,11022,10.0,11022,100.0,11022
453,82.0,224557,100.0,224557,5.0,224557,34.0,224557
454,100.0,58626,100.0,58626,100.0,58626,100.0,58626
455,2.0,216076,0.0,216076,2.0,216076,4.0,216076
456,100.0,49934,89.0,49934,29.0,49934,100.0,49934
457,30.0,11219,3.0,11219,6.0,11219,7.0,11219
458,0.0,206099,3.0,206099,3.0,206099,17.0,206099
459,100.0,116166,100.0,116166,21.0,116166,11.0,116166
460,100.0,61377,100.0,61377,84.0,61377,100.0,61377
461,5.0,285130,36.0,285130,13.0,285130,75.0,285130
